,gid,origin_id,pathrow,dsfnv,julday,ano,areakm_squared,scene_id,lon,day,uf_AC,mainclass_DESMATAMENTO,class_name_d2008,class_name_d2015,class_name_d2016,month_1,month_10,month_11,month_12,month_2,month_4,month_5,month_7,month_9,year_2009,year_2010,year_2011,year_2012,year_2015,year_2016,year_2017,states_Amapa,states_Amazonas,states_Maranhao,states_Mato Grosso,states_Para,states_Rondonia,states_Roraima,view_date_month_3,view_date_month_6,view_date_month_8,view_date_weekday_0,view_date_weekday_1,view_date_weekday_2,view_date_weekday_3,view_date_weekday_4,view_date_weekday_5,view_date_weekday_6,view_date_is_month_end_0,view_date_is_month_start_0,view_date_hour_12,publish_ye_month_1,publish_ye_weekday_3,publish_ye_weekday_4,publish_ye_weekday_6,publish_ye_is_month_end_0,publish_ye_is_month_start_1,lat,Label
361,522758,954792,22562,2007,185,2011,0.334707767,1319,-51.12811279,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,-3.650223494,-3.555779848
362,119276,369422,23258,2010,282,2011,0.159148812,1348,-61.14485168,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2.612814426,2.671300149
363,356410,681022,22361,2010,215,2012,0.079182431,1612,-47.73111343,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,-1.129052162,-1.70599885
364,473109,835338,22463,2013,253,2015,0.084702544,2574,-49.84474945,10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,-4.259381294,-4.031153567
365,474443,837455,22463,2013,112,2016,0.076509848,100128,-50.72618484,21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,-4.100639343,-4.129746525
366,234474,525020,566,2009,209,2010,0.067732207,1130,-72.21924591,28,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,-9.159017563,-8.951091647
367,374841,704666,167,2007,208,2008,0.069096729,595,-67.15775299,26,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,-9.75229454,-9.785106459
368,579511,1085787,22662,2016,208,2017,0.018331433,100625,-52.34082413,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,-3.709364176,-3.522136865
369,359129,683741,22361,2016,187,2017,4.97982E-05,100644,-48.25501633,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,-1.389441133,-1.741127201
370,520665,950797,22562,2008,185,2011,0.157010272,1319,-51.76662445,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,-2.935468674,-3.016191096
371,519322,948515,22562,2009,294,2010,0.064386398,1191,-50.89731979,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,-2.384826899,-2.862394955
372,259272,553250,22163,2015,255,2016,0.077247165,100113,-45.8645134,12,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,-4.635548115,-4.57655858
373,116474,365144,23258,2013,245,2015,0.010072069,2549,-60.4997139,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,2.472295046,2.461868207
374,430965,766744,22462,2007,234,2008,0.277384043,619,-50.08113861,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,-3.525613546,-3.32207444
375,735840,1328174,22867,2010,206,2011,0.118064664,1286,-57.79836273,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,-10.6682272,-10.66410488
376,578151,1084413,22662,2016,208,2017,0.023924945,100625,-53.12475586,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,-3.369897366,-3.232311442
377,34779,151411,23158,2010,243,2011,0.092527635,1403,-60.05312729,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2.756861925,2.383243698
378,378159,708001,22465,2010,242,2011,0.148479596,1310,-50.03203201,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,-7.554832935,-5.130546769
379,479243,846189,22463,2015,112,2016,0.056266379,100128,-49.79263306,21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,-5.01420927,-5.079036427
380,173632,457477,23367,2015,207,2016,0.10866113,100260,-65.76706696,25,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,-9.309039116,-9.33122406
381,579539,1085815,22662,2016,208,2017,0.010271767,100625,-53.34793854,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,-3.368423462,-3.36745353
382,11738,58751,23063,2007,228,2008,0.048978753,668,-59.79563141,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,-3.945842743,-3.993863652
383,672112,1264446,22762,2014,226,2015,0.057940785,2571,-53.84362793,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,-3.529636145,-3.277684741
384,425134,760891,22464,2015,112,2016,0.062297769,100149,-50.47826385,21,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,-5.071816444,-5.209026685
385,455988,803401,22463,2007,234,2008,0.224471271,583,-50.20537567,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,-3.799544573,-3.856502492
386,664571,1256905,22762,2007,271,2008,0.077326149,621,-53.82984924,27,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,-2.338158131,-2.360619626
387,663458,1255792,22762,2006,271,2008,0.076818399,621,-54.35984802,27,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,-3.439429522,-3.164392228
388,663781,1256115,22762,2006,209,2009,0.086833514,900,-54.13404846,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,-3.607703447,-3.411490901
389,831550,40622,23258,2017,221,2018,0.02184389,101111,-60.53158569,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,2.545261383,2.616668943
390,524937,959140,22562,2014,196,2015,0.015123715,2573,-51.78711319,15,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,-3.242666721,-2.818819029
391,522355,953989,22562,2007,185,2011,0.118088149,1319,-51.23183823,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,-3.425677776,-3.448154721
392,460250,811611,22463,2014,253,2015,0.020492734,2574,-50.18444824,10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,-3.666622639,-3.921766422
393,579970,1086249,22662,2016,208,2017,0.158150285,100625,-52.99819183,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,-2.867060184,-3.211144714
394,525405,960072,22562,2013,196,2015,0.012385496,2573,-51.25865555,15,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,-3.242889404,-3.146111624
